NAME                        READY   UP-TO-DATE   AVAILABLE   AGE
deployment.apps/flask-app   2/2     2            2           8m46s
deployment.apps/hr-app      2/2     2            2           4h13m

NAME                             READY   STATUS    RESTARTS        AGE
pod/busybox                      1/1     Running   4 (4m27s ago)   4h4m
pod/flask-app-76cc567dfb-cgvt2   1/1     Running   0               8m46s
pod/flask-app-76cc567dfb-wcv7k   1/1     Running   0               54s
pod/hr-app-db6b5548c-fk6jt       1/1     Running   0               4h13m
pod/hr-app-db6b5548c-j4gx5       1/1     Running   0               3h58m
pod/nginx1                       1/1     Running   0               4h43m
pod/nginx2                       1/1     Running   0               4h42m
